shipment_id,timestamp,event_type,status,delay_duration,scheduled_time,courier_id,route_id,region_id,aoi_id,aoi_type,city,lng,lat,ds,source_file,source_row_id,source_event_id,source_timestamp,delay_id,delay_stage,delay_duration_delay-reports,initial_delay_duration,reported_at,courier_id_delay-reports,route_id_delay-reports,region_id_delay-reports,city_delay-reports,ds_delay-reports,source_file_delay-reports,source_row_id_delay-reports,source_timestamp_delay-reports,_delay_match,_record_source,_source_datasets,_integration_key
169,2022-06-13 07:52:00+00:00,accept,on_time,0.0,2022-06-13 09:00:00+00:00,10538,region_90,90,11409,14,Jilin,126.56289,43.88447,613,Cainiao-AI/LaDe:pickup/pickup_jl.csv,79365,169:accept,06-13 07:52:00,,,,,,,,,,,,,,left-only,shipment_scans_cleaned,"shipment_scans_cleaned,delay_reports_cleaned",169
169,2022-06-13 08:49:00+00:00,pickup,on_time,0.0,2022-06-13 11:00:00+00:00,10538,region_90,90,11409,14,Jilin,126.56289,43.88447,613,Cainiao-AI/LaDe:pickup/pickup_jl.csv,79365,169:pickup,06-13 08:49:00,,,,,,,,,,,,,,left-only,shipment_scans_cleaned,"shipment_scans_cleaned,delay_reports_cleaned",169
828,2022-06-06 14:57:00+00:00,accept,on_time,0.0,2022-06-06 15:00:00+00:00,11576,region_109,109,14181,1,Jilin,126.57667,43.79332,606,Cainiao-AI/LaDe:pickup/pickup_jl.csv,138305,828:accept,06-06 14:57:00,,,,,,,,,,,,,,left-only,shipment_scans_cleaned,"shipment_scans_cleaned,delay_reports_cleaned",828
828,2022-06-06 15:52:00+00:00,pickup,on_time,0.0,2022-06-06 17:00:00+00:00,11576,region_109,109,14181,1,Jilin,126.57667,43.79332,606,Cainiao-AI/LaDe:pickup/pickup_jl.csv,138305,828:pickup,06-06 15:52:00,,,,,,,,,,,,,,left-only,shipment_scans_cleaned,"shipment_scans_cleaned,delay_reports_cleaned",828
2223,2022-06-06 15:11:00+00:00,accept,on_time,0.0,2022-06-06 15:11:00+00:00,9797,region_131,131,3928,14,Jilin,126.56738,43.8326,606,Cainiao-AI/LaDe:pickup/pickup_jl.csv,222232,2223:accept,06-06 15:11:00,,,,,,,,,,,,,,left-only,shipment_scans_cleaned,"shipment_scans_cleaned,delay_reports_cleaned",2223
2223,2022-06-06 16:42:00+00:00,pickup,on_time,0.0,2022-06-06 17:11:00+00:00,9797,region_131,131,3928,14,Jilin,126.56738,43.8326,606,Cainiao-AI/LaDe:pickup/pickup_jl.csv,222232,2223:pickup,06-06 16:42:00,,,,,,,,,,,,,,left-only,shipment_scans_cleaned,"shipment_scans_cleaned,delay_reports_cleaned",2223
2663,2022-06-15 12:01:00+00:00,accept,on_time,0.0,2022-06-15 13:00:00+00:00,4251,region_132,132,19869,14,Jilin,126.05493,42.94801,615,Cainiao-AI/LaDe:pickup/pickup_jl.csv,257659,2663:accept,06-15 12:01:00,,,,,,,,,,,,,,left-only,shipment_scans_cleaned,"shipment_scans_cleaned,delay_reports_cleaned",2663
2663,2022-06-15 13:56:00+00:00,pickup,on_time,0.0,2022-06-15 15:00:00+00:00,4251,region_132,132,19869,14,Jilin,126.05493,42.94801,615,Cainiao-AI/LaDe:pickup/pickup_jl.csv,257659,2663:pickup,06-15 13:56:00,,,,,,,,,,,,,,left-only,shipment_scans_cleaned,"shipment_scans_cleaned,delay_reports_cleaned",2663
2850,2022-06-16 15:17:00+00:00,accept,on_time,0.0,2022-06-16 17:00:00+00:00,5969,region_91,91,15020,1,Jilin,126.50959,43.81118,616,Cainiao-AI/LaDe:pickup/pickup_jl.csv,97072,2850:accept,06-16 15:17:00,,,,,,,,,,,,,,left-only,shipment_scans_cleaned,"shipment_scans_cleaned,delay_reports_cleaned",2850
2850,2022-06-16 16:07:00+00:00,pickup,on_time,0.0,2022-06-16 19:00:00+00:00,5969,region_91,91,15020,1,Jilin,126.50959,43.81118,616,Cainiao-AI/LaDe:pickup/pickup_jl.csv,97072,2850:pickup,06-16 16:07:00,,,,,,,,,,,,,,left-only,shipment_scans_cleaned,"shipment_scans_cleaned,delay_reports_cleaned",2850
